Marca temporal	Por favor, contesta las siguientes preguntas [El diseño de juego es atractivo]	Por favor, contesta las siguientes preguntas [La fuente de texto y los colores están bien combinados y son consistentes]	Por favor, contesta las siguientes preguntas [Tuve que aprender cosas antes de poder jugar]	Por favor, contesta las siguientes preguntas [Aprender a jugar se me hizo fácil ]	Por favor, contesta las siguientes preguntas [Las reglas del juego son claras y fáciles de entender]	Por favor, contesta las siguientes preguntas [Las fuentes (su tamaño y estilo) usadas son fáciles de leer]	Por favor, contesta las siguientes preguntas [Los colores usados en el juego son significativos]	Por favor, contesta las siguientes preguntas [Cuando vi el juego por primera vez, tuve la sensación de que sería fácil para mí]	Por favor, contesta las siguientes preguntas [La estructura me ayudó a tener confianza en que aprendería con este juego]	Por favor, contesta las siguientes preguntas [Este juego es desafiante en la medida justa]	Por favor, contesta las siguientes preguntas [El juego ofrece nuevos desafíos a un ritmo adecuado]	Por favor, contesta las siguientes preguntas [El juego no se vuelve monótomo a medida que se avanza]	Por favor, contesta las siguientes preguntas [Completar las tareas del juego me provocó satisfacción]	Por favor, contesta las siguientes preguntas [Pude avanzar en el juego gracias a mi esfuerzo personal]	Por favor, contesta las siguientes preguntas [Siento satisfacción con lo aprendido en este juego]	Por favor, contesta las siguientes preguntas [Recomendaría este juego a mis colegas]	Por favor, contesta las siguientes preguntas [Me entretuve con el juego]	Por favor, contesta las siguientes preguntas [Algún elemento del juego me hizo sonreír]	Por favor, contesta las siguientes preguntas [Había algo interesante al inicio del juego que llamó mi atención]	Por favor, contesta las siguientes preguntas [Estaba tan envuelt@ en la tarea propuesta por el juego que perdí la noción del tiempo]	Por favor, contesta las siguientes preguntas [Me olvidé de mi entorno físico mientras jugaba]	Por favor, contesta las siguientes preguntas [Los contenidos del juego son relevantes para mis intereses]	Por favor, contesta las siguientes preguntas [Es claro ver que los contenidos del juego se relacionan a cierta materia de la carrera]	Por favor, contesta las siguientes preguntas [Este juego es adecuado para enseñar el contenido]	Por favor, contesta las siguientes preguntas [Prefiero aprender con este juego en vez de aprender con otros métodos de enseñanza]	Por favor, contesta las siguientes preguntas [El juego contribuyó a mi aprendizaje]	Por favor, contesta las siguientes preguntas [El juego me permitió aprender de forma eficiente en comparación con otras actividades]	Cuánta experiencia tienes programando?	Por favor, indica uno o más aspectos fuertes del juego	Por favor, indica una o más sugerencias para mejorar el juego	Algún otro comentario?
11/04/2023 23:35:35	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy en desacuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo		Es una forma distinta de aprender. Es interactivo. Me gusta que sea de prueba y error.  	Mejorar colocación de títulos. 	Muy buen juego, es a mi gusta una forma divertida de aprender a manejar grafos.
20/04/2023 21:33:15	En desacuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	Muy en desacuerdo	Muy en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	Muy en desacuerdo	Muy en desacuerdo	En desacuerdo	Muy en desacuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	En desacuerdo	Muy en desacuerdo	De acuerdo	De acuerdo		Enseña de manera correcta el algoritmo	Hacerlo menos tedioso, quizas agregar alguna musica acorde, poner el codigo de manera más amigable en vez de un codigo tan seco, que el grafo inicial sea más pequeño	
30/08/2023 12:21:54	De acuerdo	Muy de acuerdo	En desacuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	He dado unos cuantos ramos extra asociados a la programación.	Era intuitivo y facial de entender 	Quizás se podría explicar un poco más de que significa el código de la derecha para gente que no tiene ni idea de programación. Que es un for, un while y demases, explicar como se recorre y porque	Muy entretenido, viva los pandas rojos!!
30/08/2023 12:34:36	Muy de acuerdo	De acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	En desacuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	El aspecto que me llamó mucho la atención y lo destaco como un aspecto fuerte del juego, fue la forma interactiva de mostrar un código de programación y conceptos detrás de estos mismos. De esa forma, se puede visualizar de mejor manera la dinámica detrás de un algoritmo (que muchas veces eso llega a ser un problema a la hora de analizar su funcionamiento, en especial si son algoritmos más complejos)	Agregar muchos más niveles que formen una gran escalera progresiva de contenidos a aprender. También podría sugerir que en el momento que la persona no interactué con el juego en un tal momento del algoritmo, el juego diga mini hints que ayuden a pensar a la persona de lo que debería hacer en donde está estancado.	Muy interesante y entretenida la propuesta de este juego. Espero que se logré desarrollar más y más :3
30/08/2023 12:38:30	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	En desacuerdo	De acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	En desacuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	He dado unos cuantos ramos extra asociados a la programación.	Me parece que al ser interactivo se entienden mejor los conceptos, ademas los movimientos de la nave ayudan a entender graficamente como funciona el algoritmo	tal vez que sea mas largo o que tenga mas ejercicios por algoritmo	No soy fan del tema espacial pero si me gusto el juego
31/08/2023 17:27:11	Muy de acuerdo	De acuerdo	Muy en desacuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Ya he trabajado y/o he programado fuera de la universidad.	El disenio y la historia planteada son atractivas, como tambien la jugabilidad, es idonea para adquirir habilidades de programacion. Es intuitivo y no tan dificil de entender	La tipografia de la letra y los colores para facilitar la lectura, hay numeros que se confunden con letras y requieren contraste con el resto del juego, un buen ejemplo de esto seria el final fantasy donde el texto es solamente un fondo negro con letras blancas	
1/09/2023 16:46:46	Muy de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	En desacuerdo	Muy de acuerdo	De acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	la idea, el diseño de niveles y la ui	los controles, al momento de agregar los planetas yo pensaba que era apretar r no mas pero habia que poner le mouse sobre el planeta 	muy bueno  
8/09/2023 17:24:32	Muy de acuerdo	Muy de acuerdo	Muy en desacuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	He dado unos cuantos ramos extra asociados a la programación.	Incorporar animales tiernos y buena música aporta mucho a la satisfacción y motivación de terminar los niveles.  El acompañamiento visual de las líneas del código ayudan mucho al entendimiento del algoritmo sin tener la necesidad de explicar textualmente la función de cada uno. 		Hay unos pasos en los que no hay que hacer ninguna acción, por ejemplo el comando s.pop, y al principio eso me confundió un poco por no tener la certeza de cuál era su función dentro el algoritmo. Creo que eso es parte del desafío del juego y se logra comprender gracias al acompañamiento visual y sonoro
9/09/2023 19:12:59	Ni en desacuerdo ni de acuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Muy en desacuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	En desacuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	En desacuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	me gustó poder saltarme las instrucciones porque no me gusta leerlas, menos si es un juego. Me gustaron los colores, llama la atención a pesar de ser un juego sin mucho detalle	cambiar la letra no me gustaba	creo que a pesar de ser estudiante de ingeniería  tengo poca noción de la programación, así que para mi al no leer las instrucciones necesite ayuda para terminar el juego. Ayudaría quizás en el lado derecho no poner un código y si una explicación con palabras
9/09/2023 20:20:06	Muy de acuerdo	De acuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	La atmosfera del juego permite conectar fácilmente con la experiencia de aprendizaje, además su temática me parece bastante atractiva. 	Las palabras del texto explicativo deberían resaltar las instrucciones centrales.  Sería positivo incorporar un botón de ayuda, en algunas partes sentí que me quede atrapado. 	En líneas generales una excelente temática y experiencia. 
10/09/2023 17:49:31	De acuerdo	Muy de acuerdo	Muy en desacuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	En desacuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	En desacuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	Es entretenido y super fácil de seguir las instrucciones	Las instrucciones del principio deberían ser entregadas de una manera más simple y directa. Quizás un cuadro con una lista de todo lo que hay que hacer al inicio podría ayudar.	
11/09/2023 16:16:00	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Muy en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	Solo he dado introducción a la programación y otros ramos de Plan Común.	Me gustó que agregue una imagen sobre el contenido de programación que se tratará en cada nivel, eso me facilita el aprendizaje y la idea de lo que estoy realizando. Ademas, el juego ayuda bastante si te equivocas o no realizaste una acción (como seleccionar el nodo u otros).	Mejorar la fuente de texto, se me complicó en cierto casos leer algunas letras. 	Buen juego, entretenido y didactico para aprender la materia de programación. Me gustaria que hubiesen más juegos así para abordar otros contenidos de programación.
13/09/2023 17:38:06	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	En desacuerdo	Muy de acuerdo	Muy de acuerdo	En desacuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	He dado unos cuantos ramos extra asociados a la programación.	es interesante que sea de programación y astronomía/  es desafiante	podría ser la música que era un poco desesperante y se podría hacer un pequeño tutorial explicando las funciones que se utilizan	Muy bueno el juego!!! Felicitaciones Alonso
14/09/2023 11:12:07	Muy de acuerdo	Muy de acuerdo	Muy en desacuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	Ya he trabajado y/o he programado fuera de la universidad.	Es un juevo entretenido, los gráficos llaman la atención, interactivo y uno puede quedarse pegado jugando	Si el juego busca enseñar programación, seria bueno colocar un módulo donde se pueda explicar mejor el código o dar alguna explicación de ciertas funciones que no sabía qué hacían pero igual tenia que apretar espacio para pasarlas (podría ser una pequeña explicación al pasar el mouse por sobre el texto). Quizás no era de importancia para el juego, pero como no conozco mucho el lenguaje con el que se utilizó e igual sé programar, sería interesante poder conocer qué significan tales funciones.	
14/09/2023 16:29:12	De acuerdo	De acuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	En desacuerdo	De acuerdo	Muy de acuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Ni en desacuerdo ni de acuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	De acuerdo	De acuerdo	De acuerdo	Muy de acuerdo	Ni en desacuerdo ni de acuerdo	Muy de acuerdo	En desacuerdo	En desacuerdo	Ni en desacuerdo ni de acuerdo	Ni en desacuerdo ni de acuerdo	Ya he trabajado y/o he programado fuera de la universidad.	Las gráficas son muy bonitas y atractivas, invitan a jugar.	Encuentro que el juego se puede completar sin entender del todo la diferencia entre queues y stacks, solo mecanizando el seguir las instrucciones del panel derecho. Ambos niveles se diferencian en que el primero es mucho más rápido de recorrer y mecanizar, mientras que el segundo plantea más dificultad, pero no queda completamente claro en cuál se usan queues y en cuál stacks.  Quizás faltaron planetas para que se notara más el hecho de acumular elementos en queues o stacks y la forma en que estos se extraen, o quizás sería más sencillo entender estos conceptos si el juego solo consistiera en clickear planetas para ir recorriendo los mapas, sin necesidad de apretar teclas como espacio, R, W o S, ya que a la larga esta mecánica distrae un poco de entender realmente cómo están operando los algoritmos.	aguanten los pandas!